,label,content
21,Negative,"saya lupa password & minta pengiriman ulang kata sandi ke email, tp setiap buka link nya tidak pernah bisa, padahal udah pake data, pake wifi, pake hotspot semuaaaa gak bisa, yg bener donk aplikasinya..diperbaikin, bolak balik hapus download ttp gak bisa"""
22,Negative,"Aplikasi jelek banget ini anggarannya kecil kah buat bikin aplikasi ini,,daftar padahal keterangan nya eror belum ada email aktivasi, eh pas daftar lagi malah muncul keterangan silahkan login, padahal itu daftar aja eror kenapa suruh login🤣🤣, tolonglah bikin aplikasi yang bagus,IT nya yg memang pada bidang nya sekalian jangan ngambur-ngamburin anggaran"
23,Negative,"Aplikasi gak berguna, sangat buruk sekali. Pemerintah ini niat gak mau ngasih bantuan ke masyarakat, sy belum menerima sama sekali. Sekalinya bersemangat, aplikasinya bus*k. Login ga bisa terus, error lah, apalah. Masa kalah sm aplikasi lokal. Harus diperiksa ini yg menang tender bikin aplikasinya knp jelek sekali."
24,Negative,Awal daftar error terus. Ga beberapa lama lancar bisa daftar tapi nunggu approval dulu akunnya bbrp hari. Setelah approval bisa masuk. Eh pas mau masuk lagi ERROR terus. Pas klik lupa pasword & ada balesan email pas klik link nya error juga :( Minta tolong segera di benahi yaa... mengingat apk ini bagus agar masyarakat bisa terhubung langsung dg kemensos. Serta untuk cek bantuan mengantisipasi adanya bantuan yg ga sampe ke tangan penerimanya.
25,Negative,"Aplikasi nya jelek banget sumpah, uda dapet email verifikasi dari kemensos nya tapi tetep ajaa ngga bisa di buka dengan alasan network error laa, terus jhon parse laa jelek banget sumpah, tolong yaa diperbaiki, banyak loo yang pengen ngutarain usul sanggah lewat aplikasi ini tapi samsek ngga bisa di buka. Baru pertama kali se emosi ini sama aplikasi huftt."
26,Negative,"Dari pertengahan agustus sampai sekarang tidak bisa log in. Dan satu lagi untuk validasi sungguh sangat lama, masa sudah berbulan bulan masih proses validasi. Tolong intergritasnya ditingkatkan"
27,Negative,"Aplikasi nya sangat sangat buruk, giliran aktivitas akun sudah bisa di gunakan malah aplikasi ini nggak bisa di gunakan. Pemerintah mempermainkan kita atau gimana sih. Sepertinya sengaja dech diginiin aplikasi nya😤😤😤 Aplikasi taikk .. Udah login dan isi data2 giliran tekan tambah usulam malah keterangannya terjadi error aplikasi. Silahkan hubungi admin. Setaaaan mmg."
28,Negative,"Perbaiki lah aplikasinya. Selalu Error jarson parse. Gimana mau daftar secara mandiri kalo error terus ? Katanya udah serba digital, tapi bikin aplikasi aja masih banyak bug dan error. Tolong lah, banyak rakyat yg miskin belum terdaftar sebagai PKH si DTKS."
29,Negative,"Boro2 mau login ,Buat akun aja tidak bisa di aplikasi ini. Padahal sudah diisi semua data2nya, pas mau klik buat akun malah log out (no respon) ,sangat disayangkan kinerja apps nya! Padahal ini aplikasi resmi ☹."
30,Negative,aplikasi pemberi harapan palsu waktu daftar sudah cape² ngetik waktu d tekan daftar malah ada pemberitahuan sistem terjadi eror silahkan hubungi admin... klo emang gk bisa daftar lewat aplikasi ini jangan d adakan pendaftaran lewat aplikasi ini lah
31,Negative,"Saya lupa password lalu saya klik lupa password di cek bansos setelah mengisi data nomor telepon, email dan user name saya mendapatkan email , kalau saya buka email saya saya klik link yg di berikan oleh cek bansos tapi kendala nya setalah di klik hanya memutar saja di internet saya sampai saya tunggu 1 jam tetap tidak muncul pergantian password hanya memutar saja di internet pencarian... Tolong di perbaiki atau berikan solusi ... Terima kasih sebelum nya"
32,Negative,Tolong jelaskan kenapa dan mengapa di saat sedang mendaftarkan akun baru dan semua persyaratan nya sudah terpenuhi malah yang ada hanya tulisan maaf erorr tolong hubungi admin...sedangkan kami pun tidak tau admin tsb itu siapa...tolong lah jika aplikasi ini untuk mempermudah kenapa harus di persulit...
33,Negative,Setiap saya login pasti username tidak di temukan..saya buat akun baru data saya juga blom ada..saya masukin data data saya lagi..berhasil terdaftar..pas saya login..user name tidak di temukan..saya kok pusing..harus gimana sama aplikasi ini
34,Negative,"Daftar akun mudah tapi tiba tiba ngilang sendiri jadi khawatir kalau cuma mau ngambil data diri kita aja, buat yang lain, mikir2 dulu kalau mau download apk ini, soalnya mau masuk lagi susah banget bahkan sampai sekarang login aja ga bisa pdhl data udah bener,"
35,Negative,"Email info sudah ter aktivasi sudah ada tapi mau masuk atau login tidak bisa keterangan user dan password tidak di temukan belum aktivasi, kayak gimana ini bikin aplikasi biar mudah namun malah bikin puyeng kepala masyarakat"
36,Negative,"Payah, daftar selalu eror. Pas sudah berhasil dan coba login email belum terverifikasi, di cek ke email ga ada masuk. Tidak memberikan pelayanan yg optimal, tidak ada live chat online untuk pengaduan. Banyak kurang nya."
37,Negative,Wah kacau alamat udah benar semua..pas login alamat tidak sesuai lagi..saya di cek udah beberapa kali..emang alamat sama dengan ktp..jadi yg benar bagaimana..aplikasi eror..saya kasi bintang 1..aplikasi mau di hapus aja dari pada pusing kepala
38,Positive,Saya gak pernah dapat bantuan apa apa. Cuma bisa lihat tetangga yg dapat. Yg ekonominya lebih baik dr saya dn kluarga. Mau bansos pkh atau apalah.. saya kira aplikasi ini membantu ternyata cuma php. Setiap membuat usulan selalu erorr...
39,Positive,"alhamdulillah setelah berhari hari gk bisa login ,tapi setelah di update sekarang udah bisa login,dan udah bisa di buka aplikasinya,ada satu lagi ,setelah bisa login ,tapi mau masukan usulan data ,error jasn, tapi sekarang mau usul bansos stts belum cek terus dari 3 bln yg lalu"
40,Negative,App gak jelas banget...mau daftar aj gak bisa...suruh hubungin admin....mending gak usah di download...buang2 quota aja...udh coba berkali2..tetap gak bsa daftar...error trs2an...mending di hps aj nih app dr play store !!!!!
41,Negative,"Tolong don min. Eror terus kalo mau mengajukan usulan. Seharusnya kalo aplikasi ini dari kementrian sosial langsung seharusnya bisa membantu dan mempermudah masyarakat untuk mengajukan usulan. Dicoba berulang"" tetap eror, padahal sinyal stabil"
42,Neutral,"Aplikasi nya susah diakses, reset paswor selalu eror dan hubungi admin sedangkan tiDak ada form pengaduan ,atau call center di aplikasinya ,seharusnya kalau ingin diakses secara online banyak kemudahan ,dan fitur yang ada bisa di gunakan ,kalau memang ada penjadwalan misal hanya waktu kerja atau tanggal tanggal tertentu untuk login atau daftar ada penjelasannya di dashboard aplikasi cek bansos. Kalau aplikasi sulit diakses oleh masyarakat awam ini saya , gmn mau daftar bansos ?"
43,Negative,Apk nya erorr enggak ke urus mau daftar masuk aja susah nya minta ampun.erorr periksa koneksi anda. Padah WiFi nya bagus mendownload bagus brosing bagus di apk yg lain bagus2 aja enggak ada masalah. Tolong di perbaiki.kalo sudah ok saya kasih full bintang nya. Terimakasih
44,Negative,"Saran saya: jika memang aplikasi cek bansos ini tdk bisa di gunakan , mendingan di hapus saja, jadi tdk bannyak orang yg berharap akan sesuatu lewat atau dengan aplikasi ini, sy lihat di kolom ulasan kebanyakan semua merasa kecewa dengan aplikasi ini, trmasuk saya, sudah mendaftar, di arahkan ke login, tp tdk bs login. Smg komen sy mndapat tanggapan 🙏🙏🙏"
45,Neutral,"Tolong dong admin aplikasi cek bansos, saya sudah daftar sudah terverifikasi, tapi saat saya mau tambah usulan kenapa error terus, kadang error json parse kadang error hubungi admin.tolong dong supaya aplikasinya di tingkatkan lagi agar tidak error terus"
46,Positive,"Banyak yang bilang kalo apk ini error lah dll, Alhamdulillah gua sih lancar² aja. Mulai dari daftar, login dan tambah usulan Alhamdulillah lancar. Tapi gak tau gimana ke depannya, di terima gak data kita sama kemensos. Itu aja sih yang penting hahaha 😅"
47,Negative,"Buat akun selalu gk bisa.. yg jariangan error,yg apalah.. padahal mau dftr bantuan masak gk pernah dpt bantuan. Sedangkan orang yg berada malah dpt pkh. Aq yg punya anak 3 msh kecil semua, tinggal msh sama ortu, penghasilan gk ada 500rb/ bln aja gk pernah dpt."
48,Neutral,"Saya beri nilai segini karna amat sangat kecewa....bukan masalah apk ya,tapi kenapa saya selalu tida dapat menerima bantuan bansos,pkh/semacamnya padahal saya orang kurang mampu!!! Dan aneh ya di tempat saya orang yg termasuk berada malah dapet bantuan!!!...mohon untuk bisa di dengar untuk semuanya,mungkin dari kalian juga ada yg merasakan yg sama...saya curhat disini karna apk ya juga eror jadi saya mengajukan aduan disini!!...mohon untuk turun kelapangan saja agar bantuan bisa tepat sasaran!!!"
49,Negative,Aplikasi nya susah di gunakan..setiap mau login slalu under name dan pasword tidak di temukan.. giliran mau ngusul ke pemerintahan setempat.. alasan nya banyak sekali.. mending gak usah ada bantuan tapi lowongan pekerjaan di tambah
50,Negative,Tidak bisa login padahal nama dan passwordnya sudah benar dan di ulang berkali-kali tetap saja (user name dan password tidak di temukan /belum di lakukan aktivasi )itu saja yang muncul. Tolong perhatikan yang baik. SEBENARNYA KALAU BAIK SANGAT BESAR MANFAATNYA BAGI RAKYAT INDONESIA . MERDEKA .
51,Neutral,"Komennya banyak yg gak bagus,tp krn sy sangat membutuhkan sy coba download juga,hidup2 untung2an,tp ternyata gak bisa login,semua sudah benar,email/nmr Hp tp yg keluar pasword/email salah,sy coba ganti pasword jawabannya tidak ditemukan,tolonglah...kami rakyat gk mampu,setelah corona kena PHK..jgn dipersulit,,"
52,Negative,"Menu penambahan usulan mandirinya error trus gak bisa jalan, moga cepat diperbaiki banyak warga yg bener-benar membutuhkan bantuan yg sulit mengajukan bansos, saya lampirkan foto keterangan error menu aplikasinya lewat email"
53,Negative,"Mau tanya, aplikasi ini masih beroperasi atau tidak yah. Laporan jalan di tempat, tidak ada perubahan apapun. Login tdk bsa sllu eror. Saya tidak rela ya jika seandainya data diri saya di curi dan di slah gunakan Utk kepentingan pribadi para oknum."
54,Positive,Sedikit masukan. Untuk menu usulan sebaiknya ditambah kolom keterangan. Krna jika hnya melihat dr ktp dan foto rumah saja tdk bsa menggambarkan kseluruhan kondisi keluarga yg diusulkan. Tetangga saya ada yg rumahnya msh tanah tp sawah nya dmna2 dpt bntuan. Trs ada lansia yg tinggal sndri dan rumah jg pnya sodara mlh g dpt bantuan. Mohon bsa jd masukan agar dpt dikembangkan lg aplikasinya. Trims
55,Negative,Aplikasi apaan saya daftar sudah lama masa belum dilakukan aktivasi. Yang belum download jangan deh percuma ngabisin kuota saja. Padahal pengguna kepengen daftar sendiri bantuan. Khususnya yang tidak terdaftar oleh pemerintahan desa
56,Negative,"Sudah susah dengan ekonomi malah di susahin lagi mau dapat bantuan aja daftar lewat aplikasi, sedangkan tidak semua orang bisa menggunakannya bahkan ada yg tidak punya hp. Mana aplikasi nya eror mulu"
57,Negative,"Eror trus...eror,mhon kepada pihak pengembang di perbaiki dan di cek lagi aplikasinya,karna eror terus (eror json parse),saya ngajuin usulan untuk orang yang tidak mendapatkan bantuan yang selayaknya harus dapat,mohon di bantu perbaiki aplikasinya.."
58,Negative,"Sudah dapat email akun sudah diverifikasi dan tinggal melakukan usulan sanggah lewat aplikasi.Tapi ketika mau masuk selalu tidak bisa.Keterangannya ""akun belum diverifikasi"" Saya tunggu hingga berbulan bulan ketika dicoba masih sama seperti sebelumnya.Sebenarnya kendalanya dimana ya?"
59,Negative,"Gimana ini aplikasi eror terus padahal cuma satu satunya cara daftar bantuan , mau daftar offline dari kelurahan gak bisa, padahal ini sangat membutuhkan bantuan, ayah saya keadaan ya gak bisa jalan sejak kecil, lihat orang orang bawa kertas undangan di kasihkan ke kelurah dapat uang la keluarga saya cuma bisa lihat, tolong lahh aplikasi nya di benerin soalnya cuma satu satunya cara daftar, lewat offline gak bisa katanya😭😭"
60,Negative,"Ini gimana sih.. udah nyoba daftar, tapi gagal terus.. ""APLIKASI ERROR, HARAP HUBUNGI ADMIN"" maksutnya gimana..?? Mohon developer perbaiki secepatnya.."
61,Negative,"Apk baru dibuka sudah ada tulisan sedang dalam pemeliharaan sistem.. Selalubegitu. Apk pemerintah kok kalah sama apk lain.. Padahal seharusnya menjadi akses dan sarana kemudahan bagi masyrkt yg membutuhkan pelayanan. Tolong diperbaiki dalam melayani rakyat.. Agar kemudahan dan kesejahteraan itu merata, tidak hny milik sebagian saja"
62,Negative,"Kenapa aplikasi nya gak bisa ngajukan diri buat bansos ya padahal udah lengkap data diri nya. Sisanya nya bilang server sibuk, gagal atau jaringan jelek. Padahal jaringan saya bagus aja kok"
63,Negative,"Sudah daftar dan sudah ada laporan klo data sudah terdaftar, suruh login tapi pas login gak bisa laporannya username dan password belum di ferifikasi Tolong dong klo emang niat bantu jangan di persulit, jangan pun terima bansos nya buat login apknya aja di persulit☹️"
64,Negative,"Setiap kali ke menu data tam bah usulan selalu error,padahal sudah isi data semuanya,tp setelah klk ok selalu muncul error Dan suruh hubungi admin...jadi agak kecewa sich..."
65,Negative,"Ini kenapa sih, daftar error json perse,, giliran dicoba terus udah muncul tulisan sudah terdaftar silahkan login, pas login munculnya username tidak terdaftar. Mbok dikasih panduan opo nomere admin biar bisa dibantu."
66,Positive,"Awalnya sempet ragu dengan aplikasi ini karena sudah registrasi tapi tidak bisa dibuka,, Ternyata harus nunggu di aktivasi terlebih dahulu, setelah mendapatkan notifikasi bahwa sudah aktiv, baru aplikasi ini bisa digunakan"
67,Positive,"Kalau bisa beri pilihan batal utk tanggapan kelayakan karena banyak kesama'an Nama&usia dlm satu Desa/wilayah jadi jika ada yg salah meng klik Nama dalam memberikan tanggapan kelayakan bisa di cancel,terus sebisa mungkin disetiap Nama penerima manfaat dicantumkan Nama Dukuh/Dusunnya&RT/RW nya juga krn itu sangat penting supaya tepat sasaran"
68,Negative,"Aplikasi ini tidak bisa diPakai, Mau daftar aja gak bisa.. Buang2 anggaran negara saja. Duit buat pemeliharaan aplikasi ini sangat besar, gaji karyawaannya juga besar.. tapi aplikasi tidak bisa diPakai. Payah"
69,Negative,"Error terus ketika pengajuan usulan, padahal signal stabil, di minta hub admin, tapi aplikasi untuk menghub tdk ada, jd bagaimana? Tolonglah solusinya.."
70,Negative,"Aplikasi bikin orang kesel, gak bisa login. Mulu error dan belum ada aktivasi.. padahal dah punya akun dan udah pernah login. Orjess ..!!!!"
71,Negative,Ini kenapa ya uda download udah daftar berhasil tapi pas mau login user &pasword tidak ditemukan.. Padahal pas selesai daftar ada keterangan berhasil dan silakan login..hadeeeehhh
72,Negative,"Aplikasi apaan susah bikin akun, loading mulu hampir 30 menit di tungguin, masih belum kabuka juga. Tolong dong yang serius kalau mau bikin aplikasi."
73,Negative,Cuman penasaran doang..saya sudah pake aplikasi ini..tuk guna mengecek tentang bantuan dari pemerintah..trrnyata data terdaftar.tapi nyatanya gak pernah menerima bantuan apapun terkecuali bantuan kis....coba tolong di kros cek lg bspa mrntri kemensos...terimakasih..🙏
74,Negative,"Sangat tidak membantu, sudah dilakukan pendaftaran tapi tidak terdaftar. Mohon kalau ada yg menggunakan atas nama saya menggunakan ktp saya itu bukan saya. Karna nama dan ktp saya sudah terdaftar di situ. Mohon tidak di salah gunakan. Pendiri aplikasi mohon di periksa lagi aplikasinya. Supaya berguna untuk masyarakat yg membutuhkan terimakasi ‼️"
75,Negative,Fitur daftar nya gagal terus karena error. Masa apk milik kementerian kualitas nya seperti ini? Ada bug sederhana tapi engga ada effort pembenahan. Kecewa!
76,Negative,Tolong dan tolong...yg jelas dong...kenapa eror terus...kalau enggak bikinin cara untuk usulan batu yg benar...sudah ratusan kali pun tetep saja eror...katanya aplikasi dari kementrian...nyatanya ini aplikasi yg hanya bisa nunjukin kata aplikasi eror hubungi admi...kalau tidak bisa di perbaiki saran saya mendingan di tutup saja aplikasinya...terima kasih
77,Negative,"Kenapa saat tambah usulan selalu terjadi aplikasi error', silahkan hubungi admin.. dari kemarin seperti itu terus pdhl data lengkap dan benar .. mohon d perbaiki"
78,Negative,"Daftar berkali"" error, stelah dicoba lagi, katanya username udah trdaftar dan suruh login, giliran login username tidak ditemukan dan belum melakukan aktivasi, maksudtnya gmana itu"
79,Negative,"semua aplikasi pemerintah ya gini banyak errornya, mau situs web, mau aplikasinya sama aja. kerjanya makan gaji buta doang sih. setiap login muncul tulisan ERROR, SILAHKAN HUBUNGI ADMIN. adminnya kebanyakan ngopi sama nongkrong, kualitas aplikasi dan server ga pernah dibenerin. developernya abal-abalan!"
80,Negative,Setiap mengajukan pengusulan selalu error aplikasinya dicoba setiap jam tetep aja gak bisa....tolong diperbaiki aplikasinya jgn tanggung2 ...bansos sdh bnyak yg salah sasaran ehhh aplikasinya malah tanggung2...
81,Negative,"Kenapa aplikasinya tidak bisa kebuka saat lakukan pencarian...? Padahal jaringan sangat mendukung... 😊☕🥱 Aplikasinya kok error, dibilang silahkan hubungi Admin... 😇☕🤭"
82,Positive,Yg eror aplikasinya/cara mndaftarnya... Baru buat akun kok sudah terdaftar giliran login salah user/pasword...jadi bingung bantuan cair cuma bisa lihat/dengar dari jauh...
83,Neutral,"Aplikasinya eror, tidak bisa masukan data. Di logout login lg jg gk bisa. Kenapa rata rata aplikasi punya pemerintah sering down begini?"
84,Negative,"Tolong disertakan admin di dalam aplikasinya, karena saya tidak bisa kirim ulasan, didalam aplikasinya disuruh hubungi admin tapi didalam aplikasinya tidak ada nomor yang bisa dihubungi, tolong perbaiki demi kepentingan masyarakat banyak"
85,Neutral,"Saya merubah ulasan saya karna saya sudah bisa masuk di aplikasi ini. Selanjutnya saya belum mencoba semuanya dan kita lihat nanti pungsi dari aplikasi ini,apakah bintangnya bisa bertambah,tetap atau malah berkurang"
86,Negative,Sudah di verivikasi lewat email di suruh login tapi begitu login tidak bisa masuk dengan format terjadi eror .coba tolong di cek aplikasinya kalau belum layak buat apa di share untuk umum
87,Positive,Aplikasi dan program yang sangat membantu masyarakat menengah(miskin) atau rentan miskin.. sangat bermanfaat untuk penerima... LANJUTKAN.....!!
88,Negative,saya baru daftar apk cek bansos.. tapi saat saya buka ada tulisan (terjadi error aplikasi dan segera hubungin admin) gimna cara memperbaikinya?? harap segera di jwb..!
89,Negative,Tidak bisa login. Harap cepat perbaikan aplikasi cek bansos. Karna masih banyak yang mau mendaftar aplikasi bansos. Jadi tolong di perbaikan secepatnya.
90,Negative,"Aplikasi aneh,,login gak bsa daftar jga gak bsa slalu error sruh hbngi admin ,dlam menu gak da yg bsa d hbngi kan aneh,,, Ni namanya pembodohan , Lain kali buat aplikasi yg bnar2 sdah jadi jngan cma bsa tmpilan ja,, Smakin lama smakin bdoh negara ini..."
91,Negative,"Aplikasinya kacau saya lupa sandi mrk kan mnta nmr hp email dan user , sdh di ketik ktnya tdk terdaftar , saya daftar ulang dong , mrk blg sdh terdaftar , hanya login aj, pas saya log in lg , trnyta tdk bs ktnya user tdk trdaftar , aneh bgt kan????"
92,Negative,"Kurang memuaskan kan , aplikasinya sering error' Knp sdh bisa login , sdh isi daftar usulan eh pas mau konfirmasi masih malah gak bisa selalunya ada bilang aplikasi eror harap hubungi admin Sedangkan nmr adminnya aja tdk ada"
93,Negative,Setiap mau menambahkan usulan tidak bisa. Error mulu dan disuruh menghubungi admin. Tp disana tidak ada menu hub admin ato apalah. Kira2 tidak bisa maintenance atau tidak mampu mengurus aplikasi mending gk ush ada.
94,Negative,"Tolong diperbaiki aplikasinya. Mau menambahkan usulan bantuan untuk keluarga, saudara & orang lain susah masuknya/apk error terus."
95,Negative,"Mengapa saya mencoba beberapa kali tidak bisa daftar selalu mencul ""status pendaftaran Terjadi error Aplikasi, Silakan Hubungi Admin"" tolong di tingkatkan lg aplikasinya supaya lancar menggunakannya🙏"
96,Negative,"Ini aplikasi kenapa yaa?? Udah daftar dan sukses tapi pas login kok username tidak terdaftar,di coba berkali kali yetep saja begitu,,hffttt"
97,Negative,"aplikasi nya sangat nggak berguna benget, saat udah di buat akun nak login nggak bisa bisa selalu salah terus ada eror nya terus. PLIKASI tidak berguna nya tolong di perbaiki lagi kalok nggak hapus saja aplikasi nya dari PlayStore"
98,Positive,"Saya kasi 5 bintang bentuk apresiasi untuk pemerintah untuk go digital.. tapi saya mau bertanya, kenapa situs2 pemerintahan sangat lambat loading, dan kontak cs.nya gak ada yang respon jika dihubungi.. sedangkan kami ini, yang pemula didunia digital dengan modal uang jajan, bisa dapat server yg bagus, walaupun diakses dengan koneksi internet seadanya.. HERAN! dan lagi-lagi situs2 pemerintahan isinya 'kurang menarik' mohon maaf🙏🙏"
99,Negative,"Aplikasi eror tidak bisa Daftar Akun, mohon bantuannya Admin..!! Akhirnya berhasil buat akun tapi tidak bisa Login, keterangannya belum aktivasi. Aneh... 😂"
100,Negative,"Mau buat akun tapi eror terus setiap upload foto kembali ke halaman awal terus, tolong dong di perbaiki supaya tidak kembali ke halaman awal terus dan supaya bisa login"
101,Negative,"Aplikasiny tiap mau buat akun baru error mulu,, giliran udh bsa isi data smpe upload foto, ketika klik buat akun, tulisanny Status Pendaftaran terjadi error, hubungi admin.. Bgmn cara hub. Admin nya?"
102,Negative,aplikasi error terus..katanya bisa kasih usulan tapi gk pernah ditanggapi sama sekali.mohon diperbaiki untuk tanggapan nya agar lebih cepat..terimakasih.
103,Neutral,Aplikasinya tidak bisa buat akun baru. Padahal semua data sudah terisi dan lengkap. Saat tekan buat akun akun muncul eror
104,Negative,"Tolong developer untuk lebih perhatian kepada aplikasi ini agar meningkatkan mutu dan kinerjanya. Sering terjadi error pada kolom tambah usulan sehingga tidak bisa menambah usulan yang mana akhirnya menjadikan aplikasi ini tidak berguna. Berhubung ini adalah aplikasi milik pemerintah, ada baiknya segera di perbaiki karena banyak masyarakat yang membutuhkan. Terima kasih."
